Data,Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:00,3.081175372,0.5,2.3,5.85,8.428571429,2.092857143,0.142857143,0.107142857,0.035714286,2.592857143,9.107142857,17.34285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00,1.703632925,0.25390625,3.838107639,0.189236111,0.074652778,0.020833333,0.076822917,0.6328125,0.082465278,0.361111111,5.474826389,4.856770833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00,2.377270718,0.005291005,0.063492063,0.91005291,9.507936508,0.153439153,0.003527337,0.021164021,0.005291005,0.167548501,10.38271605,8.737213404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:00,3.496747886,0.043624161,0.187919463,1.144295302,27.88255034,3.174496644,0.154362416,0.043624161,0.006711409,0.483221477,7.302013423,16.37248322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00,2.980813572,0.848484848,2.649350649,1.086580087,7.575757576,4.770562771,0.285714286,0.683982684,0.03030303,1.956709957,1.502164502,13.91774892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00,3.294101078,0,1.774774775,21.20720721,0.306306306,0.198198198,0.009009009,0,0,3.54954955,26.14414414,8.54954955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00,3.361690019,0,0.816326531,21.84693878,0.153061224,4.826530612,0.102040816,0,0,1.397959184,3.520408163,7.153061224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00,2.495948624,0.099737533,0.708661417,1.580052493,7.653543307,1.74015748,0.112860892,0.078740157,0.034120735,0.343832021,2.643044619,9.976377953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00,2.584751653,0.01285347,0.095115681,1.074550129,10.76606684,1.236503856,0.038560411,0.020565553,0.005141388,0.110539846,5.81748072,10.31619537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00,3.070082109,0,0.388888889,0.055555556,20.33333333,0.055555556,0,0,0,0.833333333,21.5,4.916666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,3.465545177,1.337349398,7.192771084,3.13253012,9.072289157,5.78313253,0.602409639,0.915662651,0.253012048,4.325301205,4.289156627,20.08433735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,2.901794967,0.090047393,1.104265403,4.990521327,8.090047393,2.454976303,0.322274882,0.090047393,0.052132701,1.246445498,4.090047393,14.63507109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,3.710887897,1,15.5,14,1.5,0,0,2.5,0,6.5,41,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00,2.091419768,0.494402985,5.78358209,0.171641791,0.13619403,0.016791045,0.064365672,0.894589552,0.009328358,0.569029851,8.095149254,6.098880597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,3.785290637,0.052631579,0.355263158,1.842105263,36.94736842,3.618421053,0.289473684,0.039473684,0.013157895,1,14.15789474,20.07894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00,3.011819237,0,0.022653722,20.14886731,0.025889968,0.087378641,0,0.003236246,0,0.106796117,20.12621359,4.313915858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00,3.689280893,0,0.230769231,38.53846154,0.692307692,0,0,0,0,0.769230769,40.23076923,5.692307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00,1.629518838,0.048664122,0.618320611,0.936068702,3.308206107,0.062977099,0,0.017175573,0,0.195610687,5.072519084,4.947519084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00,2.413887358,1.951501155,5.346420323,2.900692841,0.203233256,0.032332564,0.009237875,0.189376443,0,0.639722864,11.15242494,8.722863741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00,1.859628491,0.438709677,2.320737327,0.244239631,0.410138249,1.638709677,0.062672811,0.2359447,0.021198157,1.166820276,1.585253456,5.376958525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00,3.653068762,0.7,3.84,13.04,11.1,5.52,1.26,0.2,0.08,3.28,6.18,25.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00,2.441349366,0.709471767,5.675774135,0.078324226,0.113843352,1.222222222,0.079234973,1.08287796,0.346083789,2.349726776,6.418032787,9.484517304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
